"PFT","SnapYr","Forest Type","AC_10","Age Class","SumOfHa"
"MCL",2000,"Conifer Lowland",105,"101-110",384106.87
"MCL",2000,"Conifer Lowland",115,"111-120",438485.43
"MCL",2000,"Conifer Lowland",125,"121-130",559532.21
"MCL",2000,"Conifer Lowland",135,"131-140",501275.31
"MCL",2000,"Conifer Lowland",145,"141-150",614102.18
"MCL",2000,"Conifer Lowland",155,"151-160",275341.25
"MCL",2000,"Conifer Lowland",165,"161-170",188850.50
"MCL",2000,"Conifer Lowland",175,"171-180",17945.57
"MCL",2000,"Conifer Lowland",185,"181+",12620.42
"MCL",2005,"Conifer Lowland",5,"0-10",721982.57
"MCL",2005,"Conifer Lowland",15,"11-20",617122.93
"MCL",2005,"Conifer Lowland",25,"21-30",131576.11
"MCL",2005,"Conifer Lowland",35,"31-40",121115.15
"MCL",2005,"Conifer Lowland",45,"41-50",137232.79
"MCL",2005,"Conifer Lowland",55,"51-60",161256.78
"MCL",2005,"Conifer Lowland",65,"61-70",234795.76
"MCL",2005,"Conifer Lowland",75,"71-80",342112.46
"MCL",2005,"Conifer Lowland",85,"81-90",346876.16
"MCL",2005,"Conifer Lowland",95,"91-100",391298.67
"MCL",2005,"Conifer Lowland",105,"101-110",402852.25
"MCL",2005,"Conifer Lowland",115,"111-120",365941.15
"MCL",2005,"Conifer Lowland",125,"121-130",496525.28
"MCL",2005,"Conifer Lowland",135,"131-140",566520.66
"MCL",2005,"Conifer Lowland",145,"141-150",414115.51
"MCL",2005,"Conifer Lowland",155,"151-160",515427.87
"MCL",2005,"Conifer Lowland",165,"161-170",214688.31
"MCL",2005,"Conifer Lowland",175,"171-180",29243.89
"MCL",2005,"Conifer Lowland",185,"181+",10422.29
"MCL",2010,"Conifer Lowland",5,"0-10",607283.23
"MCL",2010,"Conifer Lowland",15,"11-20",453103.94
"MCL",2010,"Conifer Lowland",25,"21-30",286886.77
"MCL",2010,"Conifer Lowland",35,"31-40",160425.25
"MCL",2010,"Conifer Lowland",45,"41-50",163405.72
"MCL",2010,"Conifer Lowland",55,"51-60",155501.45
"MCL",2010,"Conifer Lowland",65,"61-70",184561.33
"MCL",2010,"Conifer Lowland",75,"71-80",293040.06
"MCL",2010,"Conifer Lowland",85,"81-90",421282.70
"MCL",2010,"Conifer Lowland",95,"91-100",364805.65
"MCL",2010,"Conifer Lowland",105,"101-110",423563.60
"MCL",2010,"Conifer Lowland",115,"111-120",302512.91
