"PFT","SnapYr","Forest Type","AC_10","Age Class","SumOfHa"
"POP",2000,"Poplar",175,"171-180",37.81
"POP",2000,"Poplar",185,"181+",627.04
"POP",2005,"Poplar",5,"0-10",368709.50
"POP",2005,"Poplar",15,"11-20",229450.98
"POP",2005,"Poplar",25,"21-30",129438.31
"POP",2005,"Poplar",35,"31-40",95734.47
"POP",2005,"Poplar",45,"41-50",110793.20
"POP",2005,"Poplar",55,"51-60",177934.57
"POP",2005,"Poplar",65,"61-70",280220.87
"POP",2005,"Poplar",75,"71-80",389315.99
"POP",2005,"Poplar",85,"81-90",313774.95
"POP",2005,"Poplar",95,"91-100",218160.21
"POP",2005,"Poplar",105,"101-110",156798.35
"POP",2005,"Poplar",115,"111-120",71325.46
"POP",2005,"Poplar",125,"121-130",29012.67
"POP",2005,"Poplar",135,"131-140",19222.59
"POP",2005,"Poplar",145,"141-150",5130.12
"POP",2005,"Poplar",155,"151-160",2358.65
"POP",2005,"Poplar",165,"161-170",222.02
"POP",2005,"Poplar",175,"171-180",111.34
"POP",2005,"Poplar",185,"181+",51.97
"POP",2010,"Poplar",5,"0-10",302793.85
"POP",2010,"Poplar",15,"11-20",286307.22
"POP",2010,"Poplar",25,"21-30",173515.99
"POP",2010,"Poplar",35,"31-40",122207.62
"POP",2010,"Poplar",45,"41-50",103954.89
"POP",2010,"Poplar",55,"51-60",160849.54
"POP",2010,"Poplar",65,"61-70",247880.77
"POP",2010,"Poplar",75,"71-80",335044.98
"POP",2010,"Poplar",85,"81-90",361815.00
"POP",2010,"Poplar",95,"91-100",240409.20
"POP",2010,"Poplar",105,"101-110",149997.15
"POP",2010,"Poplar",115,"111-120",99920.33
"POP",2010,"Poplar",125,"121-130",28962.47
"POP",2010,"Poplar",135,"131-140",15183.86
"POP",2010,"Poplar",145,"141-150",9337.78
"POP",2010,"Poplar",155,"151-160",1954.78
"POP",2010,"Poplar",165,"161-170",279.39
"POP",2010,"Poplar",175,"171-180",126.21
"POP",2010,"Poplar",185,"181+",1013.90
"POP",2015,"Poplar",5,"0-10",234625.00
"POP",2015,"Poplar",15,"11-20",339589.08
"POP",2015,"Poplar",25,"21-30",193038.46
"POP",2015,"Poplar",35,"31-40",141527.26
"POP",2015,"Poplar",45,"41-50",106278.77
"POP",2015,"Poplar",55,"51-60",124977.14
"POP",2015,"Poplar",65,"61-70",200729.88
"POP",2015,"Poplar",75,"71-80",279273.25
"POP",2015,"Poplar",85,"81-90",370862.16
"POP",2015,"Poplar",95,"91-100",282613.06
"POP",2015,"Poplar",105,"101-110",185427.11
"POP",2015,"Poplar",115,"111-120",127619.09
"POP",2015,"Poplar",125,"121-130",56710.14
"POP",2015,"Poplar",135,"131-140",21439.44
"POP",2015,"Poplar",145,"141-150",13857.63
"POP",2015,"Poplar",155,"151-160",3039.82
"POP",2015,"Poplar",165,"161-170",1623.83
"POP",2015,"Poplar",175,"171-180",228.03
"POP",2015,"Poplar",185,"181+",167.73
"POP",2020,"Poplar",5,"0-10",143536.81
"POP",2020,"Poplar",15,"11-20",260198.82
"POP",2020,"Poplar",25,"21-30",226334.04
"POP",2020,"Poplar",35,"31-40",156829.54
"POP",2020,"Poplar",45,"41-50",142658.71
"POP",2020,"Poplar",55,"51-60",108334.82
"POP",2020,"Poplar",65,"61-70",137413.90
"POP",2020,"Poplar",75,"71-80",203961.95
"POP",2020,"Poplar",85,"81-90",216706.94
"POP",2020,"Poplar",95,"91-100",215664.68
"POP",2020,"Poplar",105,"101-110",93345.73
"POP",2020,"Poplar",115,"111-120",45491.85
"POP",2020,"Poplar",125,"121-130",35248.69
"POP",2020,"Poplar",135,"131-140",16577.76
"POP",2020,"Poplar",145,"141-150",5692.45
"POP",2020,"Poplar",155,"151-160",5047.58
"POP",2020,"Poplar",165,"161-170",2037.25
"POP",2020,"Poplar",175,"171-180",245.15
"POP",2020,"Poplar",185,"181+",167.63
"PWR",2000,"Red and White Pine",5,"0-10",40064.19
"PWR",2000,"Red and White Pine",15,"11-20",30646.24
"PWR",2000,"Red and White Pine",25,"21-30",20025.86
"PWR",2000,"Red and White Pine",35,"31-40",19050.77
"PWR",2000,"Red and White Pine",45,"41-50",30271.24
"PWR",2000,"Red and White Pine",55,"51-60",42765.45
"PWR",2000,"Red and White Pine",65,"61-70",58649.71
"PWR",2000,"Red and White Pine",75,"71-80",97355.69
"PWR",2000,"Red and White Pine",85,"81-90",114493.84
"PWR",2000,"Red and White Pine",95,"91-100",125991.23
"PWR",2000,"Red and White Pine",105,"101-110",105505.55
"PWR",2000,"Red and White Pine",115,"111-120",65962.62
"PWR",2000,"Red and White Pine",125,"121-130",32479.38
"PWR",2000,"Red and White Pine",135,"131-140",20103.58
"PWR",2000,"Red and White Pine",145,"141-150",9904.96
"PWR",2000,"Red and White Pine",155,"151-160",9769.48
"PWR",2000,"Red and White Pine",165,"161-170",4450.13
"PWR",2000,"Red and White Pine",175,"171-180",4510.78
"PWR",2000,"Red and White Pine",185,"181+",5290.80
"PWR",2005,"Red and White Pine",5,"0-10",44477.59
"PWR",2005,"Red and White Pine",15,"11-20",32959.10
"PWR",2005,"Red and White Pine",25,"21-30",20449.38
"PWR",2005,"Red and White Pine",35,"31-40",18670.62
"PWR",2005,"Red and White Pine",45,"41-50",21229.71
"PWR",2005,"Red and White Pine",55,"51-60",23317.53
"PWR",2005,"Red and White Pine",65,"61-70",29677.02
"PWR",2005,"Red and White Pine",75,"71-80",52736.25
"PWR",2005,"Red and White Pine",85,"81-90",72234.32
"PWR",2005,"Red and White Pine",95,"91-100",95803.65
"PWR",2005,"Red and White Pine",105,"101-110",121004.89
"PWR",2005,"Red and White Pine",115,"111-120",96679.05
"PWR",2005,"Red and White Pine",125,"121-130",58125.17
"PWR",2005,"Red and White Pine",135,"131-140",32649.30
"PWR",2005,"Red and White Pine",145,"141-150",15531.47
"PWR",2005,"Red and White Pine",155,"151-160",11727.21
"PWR",2005,"Red and White Pine",165,"161-170",4802.31
"PWR",2005,"Red and White Pine",175,"171-180",5157.66
"PWR",2005,"Red and White Pine",185,"181+",5753.96
"PWR",2010,"Red and White Pine",5,"0-10",40712.04
"PWR",2010,"Red and White Pine",15,"11-20",38272.24
"PWR",2010,"Red and White Pine",25,"21-30",28332.91
"PWR",2010,"Red and White Pine",35,"31-40",19732.90
"PWR",2010,"Red and White Pine",45,"41-50",12729.15
"PWR",2010,"Red and White Pine",55,"51-60",22217.33
"PWR",2010,"Red and White Pine",65,"61-70",24078.23
"PWR",2010,"Red and White Pine",75,"71-80",34802.44
"PWR",2010,"Red and White Pine",85,"81-90",58857.74
"PWR",2010,"Red and White Pine",95,"91-100",85162.17
"PWR",2010,"Red and White Pine",105,"101-110",119332.52
"PWR",2010,"Red and White Pine",115,"111-120",103119.43
"PWR",2010,"Red and White Pine",125,"121-130",62621.21
"PWR",2010,"Red and White Pine",135,"131-140",32991.58
"PWR",2010,"Red and White Pine",145,"141-150",17420.92
"PWR",2010,"Red and White Pine",155,"151-160",11315.29
"PWR",2010,"Red and White Pine",165,"161-170",7970.86
"PWR",2010,"Red and White Pine",175,"171-180",5885.57
"PWR",2010,"Red and White Pine",185,"181+",10044.73
"PWR",2015,"Red and White Pine",5,"0-10",29938.49
"PWR",2015,"Red and White Pine",15,"11-20",39363.87
"PWR",2015,"Red and White Pine",25,"21-30",33087.95
"PWR",2015,"Red and White Pine",35,"31-40",20782.77
"PWR",2015,"Red and White Pine",45,"41-50",16033.22
"PWR",2015,"Red and White Pine",55,"51-60",17797.54
"PWR",2015,"Red and White Pine",65,"61-70",18924.11
"PWR",2015,"Red and White Pine",75,"71-80",27174.18
"PWR",2015,"Red and White Pine",85,"81-90",44261.90
"PWR",2015,"Red and White Pine",95,"91-100",67551.28
"PWR",2015,"Red and White Pine",105,"101-110",107782.56
"PWR",2015,"Red and White Pine",115,"111-120",114118.42
"PWR",2015,"Red and White Pine",125,"121-130",84816.61
"PWR",2015,"Red and White Pine",135,"131-140",41216.45
"PWR",2015,"Red and White Pine",145,"141-150",24129.92
"PWR",2015,"Red and White Pine",155,"151-160",14195.82
"PWR",2015,"Red and White Pine",165,"161-170",11532.91
"PWR",2015,"Red and White Pine",175,"171-180",5217.28
"PWR",2015,"Red and White Pine",185,"181+",12793.57
"PWR",2020,"Red and White Pine",5,"0-10",34199.34
"PWR",2020,"Red and White Pine",15,"11-20",39904.50
"PWR",2020,"Red and White Pine",25,"21-30",30507.82
"PWR",2020,"Red and White Pine",35,"31-40",17446.62
"PWR",2020,"Red and White Pine",45,"41-50",17376.18
"PWR",2020,"Red and White Pine",55,"51-60",23726.10
"PWR",2020,"Red and White Pine",65,"61-70",39813.09
"PWR",2020,"Red and White Pine",75,"71-80",72084.68
"PWR",2020,"Red and White Pine",85,"81-90",83063.37
"PWR",2020,"Red and White Pine",95,"91-100",118646.97
"PWR",2020,"Red and White Pine",105,"101-110",113826.47
"PWR",2020,"Red and White Pine",115,"111-120",115335.24
"PWR",2020,"Red and White Pine",125,"121-130",106383.41
"PWR",2020,"Red and White Pine",135,"131-140",84924.53
"PWR",2020,"Red and White Pine",145,"141-150",27679.04
"PWR",2020,"Red and White Pine",155,"151-160",12833.04
"PWR",2020,"Red and White Pine",165,"161-170",7144.05
"PWR",2020,"Red and White Pine",175,"171-180",1823.51
"PWR",2020,"Red and White Pine",185,"181+",7136.16
"TOL",2000,"Tolerant Hardwoods",5,"0-10",12390.48
"TOL",2000,"Tolerant Hardwoods",15,"11-20",4974.67
"TOL",2000,"Tolerant Hardwoods",25,"21-30",13809.96
"TOL",2000,"Tolerant Hardwoods",35,"31-40",6877.84
"TOL",2000,"Tolerant Hardwoods",45,"41-50",15759.82
"TOL",2000,"Tolerant Hardwoods",55,"51-60",36128.87
"TOL",2000,"Tolerant Hardwoods",65,"61-70",72882.46
"TOL",2000,"Tolerant Hardwoods",75,"71-80",128772.50
"TOL",2000,"Tolerant Hardwoods",85,"81-90",154309.31
"TOL",2000,"Tolerant Hardwoods",95,"91-100",135228.45
"TOL",2000,"Tolerant Hardwoods",105,"101-110",139446.40
"TOL",2000,"Tolerant Hardwoods",115,"111-120",58965.60
"TOL",2000,"Tolerant Hardwoods",125,"121-130",102566.80
"TOL",2000,"Tolerant Hardwoods",135,"131-140",63451.39
"TOL",2000,"Tolerant Hardwoods",145,"141-150",62313.89
"TOL",2000,"Tolerant Hardwoods",155,"151-160",68876.42
"TOL",2000,"Tolerant Hardwoods",165,"161-170",28741.43
"TOL",2000,"Tolerant Hardwoods",175,"171-180",12103.27
"TOL",2000,"Tolerant Hardwoods",185,"181+",17579.10
"TOL",2005,"Tolerant Hardwoods",5,"0-10",19938.92
"TOL",2005,"Tolerant Hardwoods",15,"11-20",11474.11
"TOL",2005,"Tolerant Hardwoods",25,"21-30",9407.86
"TOL",2005,"Tolerant Hardwoods",35,"31-40",15950.75
"TOL",2005,"Tolerant Hardwoods",45,"41-50",16487.91
"TOL",2005,"Tolerant Hardwoods",55,"51-60",44113.73
"TOL",2005,"Tolerant Hardwoods",65,"61-70",87969.70
"TOL",2005,"Tolerant Hardwoods",75,"71-80",148824.85
"TOL",2005,"Tolerant Hardwoods",85,"81-90",220158.40
"TOL",2005,"Tolerant Hardwoods",95,"91-100",177150.85
"TOL",2005,"Tolerant Hardwoods",105,"101-110",137986.23
"TOL",2005,"Tolerant Hardwoods",115,"111-120",95079.87
"TOL",2005,"Tolerant Hardwoods",125,"121-130",113777.52
"TOL",2005,"Tolerant Hardwoods",135,"131-140",59528.14
"TOL",2005,"Tolerant Hardwoods",145,"141-150",58453.41
"TOL",2005,"Tolerant Hardwoods",155,"151-160",49444.77
"TOL",2005,"Tolerant Hardwoods",165,"161-170",57204.53
"TOL",2005,"Tolerant Hardwoods",175,"171-180",26642.65
"TOL",2005,"Tolerant Hardwoods",185,"181+",20366.94
"TOL",2010,"Tolerant Hardwoods",5,"0-10",9902.40
"TOL",2010,"Tolerant Hardwoods",15,"11-20",8689.92
"TOL",2010,"Tolerant Hardwoods",25,"21-30",5473.33
"TOL",2010,"Tolerant Hardwoods",35,"31-40",13515.41
"TOL",2010,"Tolerant Hardwoods",45,"41-50",9879.03
"TOL",2010,"Tolerant Hardwoods",55,"51-60",22940.79
"TOL",2010,"Tolerant Hardwoods",65,"61-70",53029.01
"TOL",2010,"Tolerant Hardwoods",75,"71-80",103577.38
"TOL",2010,"Tolerant Hardwoods",85,"81-90",175157.77
"TOL",2010,"Tolerant Hardwoods",95,"91-100",174815.89
"TOL",2010,"Tolerant Hardwoods",105,"101-110",145307.37
"TOL",2010,"Tolerant Hardwoods",115,"111-120",94323.80
"TOL",2010,"Tolerant Hardwoods",125,"121-130",89772.74
"TOL",2010,"Tolerant Hardwoods",135,"131-140",85269.53
"TOL",2010,"Tolerant Hardwoods",145,"141-150",63109.11
"TOL",2010,"Tolerant Hardwoods",155,"151-160",50131.63
"TOL",2010,"Tolerant Hardwoods",165,"161-170",53108.27
"TOL",2010,"Tolerant Hardwoods",175,"171-180",37033.80
"TOL",2010,"Tolerant Hardwoods",185,"181+",20262.10
"TOL",2015,"Tolerant Hardwoods",5,"0-10",16793.85
"TOL",2015,"Tolerant Hardwoods",15,"11-20",9018.10
"TOL",2015,"Tolerant Hardwoods",25,"21-30",6678.81
"TOL",2015,"Tolerant Hardwoods",35,"31-40",10869.30
"TOL",2015,"Tolerant Hardwoods",45,"41-50",9008.47
"TOL",2015,"Tolerant Hardwoods",55,"51-60",13642.42
"TOL",2015,"Tolerant Hardwoods",65,"61-70",32073.74
"TOL",2015,"Tolerant Hardwoods",75,"71-80",71287.65
"TOL",2015,"Tolerant Hardwoods",85,"81-90",137906.22
"TOL",2015,"Tolerant Hardwoods",95,"91-100",192706.04
"TOL",2015,"Tolerant Hardwoods",105,"101-110",162644.29
"TOL",2015,"Tolerant Hardwoods",115,"111-120",114926.35
"TOL",2015,"Tolerant Hardwoods",125,"121-130",75479.72
"TOL",2015,"Tolerant Hardwoods",135,"131-140",105884.07
"TOL",2015,"Tolerant Hardwoods",145,"141-150",59203.90
"TOL",2015,"Tolerant Hardwoods",155,"151-160",54734.54
"TOL",2015,"Tolerant Hardwoods",165,"161-170",42520.99
"TOL",2015,"Tolerant Hardwoods",175,"171-180",48990.04
"TOL",2015,"Tolerant Hardwoods",185,"181+",30799.51
"TOL",2020,"Tolerant Hardwoods",5,"0-10",12269.56
"TOL",2020,"Tolerant Hardwoods",15,"11-20",38566.73
"TOL",2020,"Tolerant Hardwoods",25,"21-30",11615.79
"TOL",2020,"Tolerant Hardwoods",35,"31-40",9662.69
"TOL",2020,"Tolerant Hardwoods",45,"41-50",16941.58
"TOL",2020,"Tolerant Hardwoods",55,"51-60",22488.43
"TOL",2020,"Tolerant Hardwoods",65,"61-70",41506.73
"TOL",2020,"Tolerant Hardwoods",75,"71-80",79189.54
"TOL",2020,"Tolerant Hardwoods",85,"81-90",173815.13
"TOL",2020,"Tolerant Hardwoods",95,"91-100",247205.00
"TOL",2020,"Tolerant Hardwoods",105,"101-110",218997.29
"TOL",2020,"Tolerant Hardwoods",115,"111-120",174137.21
"TOL",2020,"Tolerant Hardwoods",125,"121-130",90035.63
"TOL",2020,"Tolerant Hardwoods",135,"131-140",41561.98
"TOL",2020,"Tolerant Hardwoods",145,"141-150",17037.92
"TOL",2020,"Tolerant Hardwoods",155,"151-160",10095.28
"TOL",2020,"Tolerant Hardwoods",165,"161-170",4577.67
"TOL",2020,"Tolerant Hardwoods",175,"171-180",2115.58
"TOL",2020,"Tolerant Hardwoods",185,"181+",2471.06
